,Company,Job Title,Job Location,Job Date,Job Image URL
42,Bosta,Senior Data Analyst,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4D0BAQFlMZfv36hidA/company-logo_100_100/0/1636474830923?e=2147483647&v=beta&t=ZOg9sHifXeRIPrthvO_tYDwSCt8rmI4TWB5blYtBEus
43,Brightskies,Personnel Specialist,"Alexandria, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQH-eGPqwyItHQ/company-logo_100_100/0/1645605015702?e=2147483647&v=beta&t=6y1Ut5BDgOmgXqE7s1I8JIlaOaNZdY4c1DKZ70MhO8I
44,Sulfah | سلفة,Product Manager (Fintech),"Qesm El Maadi, Cairo, Egypt",2 months ago,https://media-exp1.licdn.com/dms/image/C4E0BAQF5xqk-uysqpg/company-logo_100_100/0/1652267082879?e=2147483647&v=beta&t=ZnBJ3PeHkjrGADsUxFMpJjGg7072CoF-RvKmpQofeu4
45,Huawei,Senior / Managing Business Consultant,"Cairo, Egypt",2 weeks ago,https://media-exp1.licdn.com/dms/image/C510BAQEtZ01_ey5nIA/company-logo_100_100/0/1586016478298?e=2147483647&v=beta&t=-zoQSEPH9qOp732d0cnp--G0Yb2LJnnDYVyzbQ1DvVU
46,Vezeeta,Senior Data Analyst - Cairo - Egypt,"Cairo, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4D0BAQGj9beQ-JHIog/company-logo_100_100/0/1635755881764?e=2147483647&v=beta&t=fm0wRWUbjNOillyNhgG4IL4yWzPKasBzjlOqH7XiTgI
47,Infomineo,Business Research Analyst,"Cairo, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4D0BAQELduPry3evGQ/company-logo_100_100/0/1638534317233?e=2147483647&v=beta&t=izNr2R0OuhPAwpw-6hnQvklYieeSJ2KTWGuV_ycgrrM
48,ALEXBANK,Senior Performance Management & Group Talent development officer,"Cairo, Egypt",3 weeks ago,https://media-exp1.licdn.com/dms/image/C560BAQHZo2Oj_MrYpw/company-logo_100_100/0/1636306365145?e=2147483647&v=beta&t=Rm6EgnV5ljOK0ZVc2gycdQQ4Zh0g6C6dOnKGwaom7D0
49,ELSEWEDY ELECTRIC,Environmental Engineer,"10th of Ramadan, Sharkia, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQF2a3ilv6hXXw/company-logo_100_100/0/1519867014179?e=2147483647&v=beta&t=b7c6fbKNG2qULESTm8H0yhKjgU_uZjWKpXzzbYiK3fM
50,MaxAB,Performance Analytics Manager,"Cairo, Egypt",31 minutes ago,https://media-exp1.licdn.com/dms/image/C560BAQEGF_lfyeVKGA/company-logo_100_100/0/1549197689049?e=2147483647&v=beta&t=cWjQf_bjkW6B1R3S0daXQzVNnHBPfsG01HiOAGu1PBs
51,Future Group Translation Services,Senior Business Intelligence Analyst,"Al Jizah, Egypt",50 minutes ago,https://media-exp1.licdn.com/dms/image/C560BAQGjslUN29H0Ow/company-logo_100_100/0/1522000128250?e=2147483647&v=beta&t=y2a5bY9pMoCniodl11f9NcvgGnUXr-ZTQ__pOjED8gs
52,Axis,Data Analyst,"Cairo, Cairo, Egypt",1 day ago,https://media-exp1.licdn.com/dms/image/C4D0BAQHRFaZ1H7WGFQ/company-logo_100_100/0/1654691837206?e=2147483647&v=beta&t=yxh6qRITMI-oNDOsBl9EyE1jjnS66ZrlJ895xCjqesE
53,Si-Ware Systems,Machine Learning & Data Analysis Graduate Intern,"Cairo, Cairo, Egypt",2 months ago,https://media-exp1.licdn.com/dms/image/C560BAQEJf2IKY2mrrg/company-logo_100_100/0/1657552408696?e=2147483647&v=beta&t=drZXEjcuux9UrI5QzD9eoAm5DpmPrfrh6a2oH6ZOXno
54,Cobblestone Energy,"JUNIOR QUANTITATIVE ANALYST - Dubai, UAE","Giza, Al Jizah, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4D0BAQF4PBrf9BZgVg/company-logo_100_100/0/1622142239115?e=2147483647&v=beta&t=qwS_ZWzeQ20mcc4jcqdZpnZxwwQh7acXUD2gzGDEpKw
55,Klivvr,Data & BI Analyst,"Qesm El Zamalek, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4E0BAQFTXx4HP3gWPA/company-logo_100_100/0/1622971664467?e=2147483647&v=beta&t=UCyDVbzNQYZVQFzN-9ilCBaQ6UL4VrHzttq8dQF66kY
56,Cobblestone Energy,"JUNIOR QUANTITATIVE ANALYST - Dubai, UAE","Cairo, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4D0BAQF4PBrf9BZgVg/company-logo_100_100/0/1622142239115?e=2147483647&v=beta&t=qwS_ZWzeQ20mcc4jcqdZpnZxwwQh7acXUD2gzGDEpKw
57,Arab Bank,Fresh Graduates 2021/2022,"Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQGOkqBXlz6Qpw/company-logo_100_100/0/1519855987241?e=2147483647&v=beta&t=T5e1S5-K5DfjCZ535wCSmSAHes8J0q3xtFuF6PDc88w
58,Zoho,Business Analyst,"Cairo, Egypt",11 hours ago,https://media-exp1.licdn.com/dms/image/C4D0BAQH3XBjLvCAfdA/company-logo_100_100/0/1640626470297?e=2147483647&v=beta&t=_te-esx8RSdKsrieHpQoFVpOLjedzPOJIe1k5253mqQ
59,Koinz,Data Analyst,"Cairo, Egypt",5 days ago,https://media-exp1.licdn.com/dms/image/C4D0BAQGe0lof7xRcPw/company-logo_100_100/0/1570868482744?e=2147483647&v=beta&t=ax2X3sUOaQ5ZfsBFuUhm8VwvlD7ZQvsap_GzRnJTxxI
60,Vodafone,Discover Graduate Program - Business Intelligence,Egypt,1 month ago,https://media-exp1.licdn.com/dms/image/C560BAQGAjVTnzEmlYQ/company-logo_100_100/0/1625476544834?e=2147483647&v=beta&t=7dr44jKR6zsfI7-lVZKnZg7xuZgduaG2W_UaniMYx4w
61,Property Finder,Reporting and Data Analyst,Egypt,6 days ago,https://media-exp1.licdn.com/dms/image/C510BAQG4tZBgCKmaZw/company-logo_100_100/0/1537034954585?e=2147483647&v=beta&t=NYsSLR0ZlKfk3kHUu0y_AbGOPsnDr3Tvnm2s3OWrPcs
62,Floward,Data Scientist,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGQMjUWwbZQig/company-logo_100_100/0/1652682936917?e=2147483647&v=beta&t=QsIjQNOYxqjztTHtEParIcoYb3TnE1SizpJSxixcClQ
63,NEXEL PARTNERS,Data Science Specialist,"Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQF9cuUC_p2trA/company-logo_100_100/0/1520240879538?e=2147483647&v=beta&t=T-BQYLSzi7-y7kwL2fWh48x0K2lpPkyVuCxazAuO6NI
