,Company,Job Title,Job Location,Job Date,Job Image URL
18,Fugro,Data Engineer,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQHg3VjvnoShqQ/company-logo_100_100/0/1559309136763?e=2147483647&v=beta&t=7gNeSTjjvhRIMIhtwwFYdQznmlKHxumQ-XSvLXAO470
19,Arrow Electronics,AI/ML (Artificial Intelligence/Machine Learning) Lead,"Cairo, Cairo, Egypt",4 days ago,https://media-exp1.licdn.com/dms/image/C4E0BAQFgZRUPzyH9Yg/company-logo_100_100/0/1541008385235?e=2147483647&v=beta&t=2umAhRRQb4hukEjvvE5H0WbyeyvfO7HVBl8G-DmsW6s
20,Teradata,Data Scientist,"Cairo, Cairo, Egypt",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGrLEbqJZRT-w/company-logo_100_100/0/1538982145946?e=2147483647&v=beta&t=adiKI9fgE8PlqGA142XZbgwWpfTB8rgRFk4zd67qwEY
21,Koinz,Data Analyst,"Cairo, Egypt",5 days ago,https://media-exp1.licdn.com/dms/image/C4D0BAQGe0lof7xRcPw/company-logo_100_100/0/1570868482744?e=2147483647&v=beta&t=ax2X3sUOaQ5ZfsBFuUhm8VwvlD7ZQvsap_GzRnJTxxI
22,Dell Technologies,5G Senior Data Scientist,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4E0BAQHd5Km8_W6GVA/company-logo_100_100/0/1614178926580?e=2147483647&v=beta&t=2qdj1S1RzeYNjqk62GFUhp3ZhtZW1Npy1m0p9k-Zhnk
23,Cobblestone Energy,"GRADUATE SOFTWARE ENGINEER - Dubai, UAE","Cairo, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4D0BAQF4PBrf9BZgVg/company-logo_100_100/0/1622142239115?e=2147483647&v=beta&t=qwS_ZWzeQ20mcc4jcqdZpnZxwwQh7acXUD2gzGDEpKw
24,Dell Technologies,5G Senior Data Scientist,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4E0BAQHd5Km8_W6GVA/company-logo_100_100/0/1614178926580?e=2147483647&v=beta&t=2qdj1S1RzeYNjqk62GFUhp3ZhtZW1Npy1m0p9k-Zhnk
25,PaxeraHealth,AI Engineer,"6th of October, Al Jizah, Egypt",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4E0BAQHuv_qD2vApqA/company-logo_100_100/0/1519912802205?e=2147483647&v=beta&t=YYLz2ObaQtYwCq95qeTSsPfhrzDYZdshovKOmw8qugc
26,Cornerstone Recruitment MENA,Data Analyst,"Cairo, Egypt",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4D0BAQH62iaBWAFgzA/company-logo_100_100/0/1655186307580?e=2147483647&v=beta&t=cccPfMpeiYvNe_VGgxNEp4ojt_HqTX_X-1AHAd29C64
27,Tribal,Machine Learning Engineer,"Cairo, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGzH3jwML6rUA/company-logo_100_100/0/1637777049451?e=2147483647&v=beta&t=MNtEfpNzA93buOgiOB8C3RG9HNaegSoxhJOCn4ZNAYw
28,Floward,Data Scientist,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGQMjUWwbZQig/company-logo_100_100/0/1652682936917?e=2147483647&v=beta&t=QsIjQNOYxqjztTHtEParIcoYb3TnE1SizpJSxixcClQ
29,Property Finder,Reporting and Data Analyst,Egypt,6 days ago,https://media-exp1.licdn.com/dms/image/C510BAQG4tZBgCKmaZw/company-logo_100_100/0/1537034954585?e=2147483647&v=beta&t=NYsSLR0ZlKfk3kHUu0y_AbGOPsnDr3Tvnm2s3OWrPcs
30,NEXEL PARTNERS,Data Science Specialist,"Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQF9cuUC_p2trA/company-logo_100_100/0/1520240879538?e=2147483647&v=beta&t=T-BQYLSzi7-y7kwL2fWh48x0K2lpPkyVuCxazAuO6NI
31,Rekrut by Talent 360,Senior Data Analyst,"Cairo, Cairo, Egypt",2 weeks ago,https://media-exp1.licdn.com/dms/image/C560BAQGEBCj63pMzBA/company-logo_100_100/0/1649700415426?e=2147483647&v=beta&t=DxoAw5-EEc9F9qu4BPGWu_NOt47rF_mYKIbVIBg1Kbk
32,Vezeeta,Head of Data Analytics - Cairo - Egypt,"Cairo, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4D0BAQGj9beQ-JHIog/company-logo_100_100/0/1635755881764?e=2147483647&v=beta&t=fm0wRWUbjNOillyNhgG4IL4yWzPKasBzjlOqH7XiTgI
